game_id,date,team_name_away,score_away,team_name_home,score_home,team_abbr_away,team_abbr_home
823244,2026-03-25,New York Yankees,7,San Francisco Giants,0,NYY,SFG
823649,2026-03-26,Pittsburgh Pirates,7,New York Mets,11,PIT,NYM
823812,2026-03-26,Chicago White Sox,2,Milwaukee Brewers,14,CHW,MIL
824704,2026-03-26,Washington Nationals,10,Chicago Cubs,4,WSN,CHC
824865,2026-03-26,Minnesota Twins,1,Baltimore Orioles,2,MIN,BAL
824541,2026-03-26,Boston Red Sox,3,Cincinnati Reds,0,BOS,CIN
824218,2026-03-26,Los Angeles Angels,3,Houston Astros,0,LAA,HOU
823325,2026-03-26,Detroit Tigers,8,San Diego Padres,2,DET,SDP
823081,2026-03-26,Tampa Bay Rays,7,St. Louis Cardinals,9,TBR,STL
823486,2026-03-26,Texas Rangers,3,Philadelphia Phillies,5,TEX,PHI
823974,2026-03-26,Arizona Diamondbacks,2,Los Angeles Dodgers,8,ARI,LAD
823163,2026-03-26,Cleveland Guardians,6,Seattle Mariners,4,CLE,SEA
823243,2026-03-27,New York Yankees,3,San Francisco Giants,0,NYY,SFG
822839,2026-03-27,Athletics,2,Toronto Blue Jays,3,ATH,TOR
823893,2026-03-27,Colorado Rockies,1,Miami Marlins,2,COL,MIA
824946,2026-03-27,Kansas City Royals,0,Atlanta Braves,6,KCR,ATL
824216,2026-03-27,Los Angeles Angels,6,Houston Astros,2,LAA,HOU
823324,2026-03-27,Detroit Tigers,5,San Diego Padres,2,DET,SDP
823162,2026-03-27,Cleveland Guardians,1,Seattle Mariners,5,CLE,SEA
823971,2026-03-27,Arizona Diamondbacks,4,Los Angeles Dodgers,5,ARI,LAD
823082,2026-03-28,Tampa Bay Rays,5,St. Louis Cardinals,6,TBR,STL
824701,2026-03-28,Washington Nationals,2,Chicago Cubs,10,WSN,CHC
822838,2026-03-28,Athletics,7,Toronto Blue Jays,8,ATH,TOR
824862,2026-03-28,Minnesota Twins,4,Baltimore Orioles,1,MIN,BAL
823488,2026-03-28,Texas Rangers,5,Philadelphia Phillies,4,TEX,PHI
824540,2026-03-28,Boston Red Sox,5,Cincinnati Reds,6,BOS,CIN
823651,2026-03-28,Pittsburgh Pirates,2,New York Mets,4,PIT,NYM
823892,2026-03-28,Colorado Rockies,3,Miami Marlins,4,COL,MIA
824213,2026-03-28,Los Angeles Angels,9,Houston Astros,11,LAA,HOU
823811,2026-03-28,Chicago White Sox,1,Milwaukee Brewers,6,CHW,MIL
824945,2026-03-28,Kansas City Royals,2,Atlanta Braves,6,KCR,ATL
823241,2026-03-28,New York Yankees,3,San Francisco Giants,1,NYY,SFG
823323,2026-03-28,Detroit Tigers,0,San Diego Padres,3,DET,SDP
823973,2026-03-28,Arizona Diamondbacks,2,Los Angeles Dodgers,3,ARI,LAD
823161,2026-03-28,Cleveland Guardians,6,Seattle Mariners,5,CLE,SEA
824864,2026-03-29,Minnesota Twins,6,Baltimore Orioles,8,MIN,BAL
823487,2026-03-29,Texas Rangers,8,Philadelphia Phillies,3,TEX,PHI
824944,2026-03-29,Kansas City Royals,4,Atlanta Braves,1,KCR,ATL
822837,2026-03-29,Athletics,2,Toronto Blue Jays,5,ATH,TOR
824538,2026-03-29,Boston Red Sox,2,Cincinnati Reds,3,BOS,CIN
823647,2026-03-29,Pittsburgh Pirates,4,New York Mets,3,PIT,NYM
823891,2026-03-29,Colorado Rockies,3,Miami Marlins,4,COL,MIA
824215,2026-03-29,Los Angeles Angels,7,Houston Astros,9,LAA,HOU
823810,2026-03-29,Chicago White Sox,7,Milwaukee Brewers,9,CHW,MIL
823079,2026-03-29,Tampa Bay Rays,11,St. Louis Cardinals,7,TBR,STL
824700,2026-03-29,Washington Nationals,6,Chicago Cubs,3,WSN,CHC
