name_team,team_abbr,ast_per_poss_team,blk_per_poss_team,drb_per_poss_team,fg2a_per_poss_team,fg2m_per_poss_team,fg3a_per_poss_team,fg3m_per_poss_team,fga_per_poss_team,fgm_per_poss_team,fta_per_poss_team,ftm_per_poss_team,minutes_per_poss_team,orb_per_poss_team,pct_fg2per_poss_team,pct_fg3per_poss_team,pct_fg_per_poss_team,pct_ft_per_poss_team,pf_per_poss_team,pts_per_poss_team,stl_per_poss_team,tov_per_poss_team,trb_per_poss_team
Atlanta Hawks,ATL,29.7,4.6,32,51.4,28.2,38.3,14.1,89.7,42.3,21.3,16.4,15890,10.4,0.549,0.368,0.471,0.774,19.2,115.1,9.2,13.9,42.4
Boston Celtics,BOS,25.8,5.6,35.3,50.8,28.2,44.8,16.2,95.6,44.4,19.2,15.3,15890,13.4,0.554,0.363,0.464,0.799,20.2,120.4,7.6,12.8,48.7
Brooklyn Nets,BKN,26.2,4.4,30.3,46.8,25,40.3,13.8,87.1,38.8,23.9,18.6,15915,11,0.535,0.343,0.446,0.777,21.2,110.1,7.8,16.3,41.3
Charlotte Hornets,CHA,27.2,4.6,34.2,47.7,25.3,43.4,16.5,91.1,41.8,22.6,18.6,16155,13.1,0.531,0.379,0.459,0.819,19.5,118.6,7.2,16,47.3
Chicago Bulls,CHI,28.2,4.9,34.1,48.9,27,39.3,14.3,88.2,41.3,21.1,16.5,16155,10.1,0.553,0.363,0.468,0.781,18.3,113.3,7.2,14.8,44.1
Cleveland Cavaliers,CLE,28.2,5.2,32.2,49.9,28.5,40.2,14.5,90.1,43,23.3,18,16155,11.9,0.571,0.361,0.477,0.776,19.7,118.5,8.8,14.1,44.1
Dallas Mavericks,DAL,24.4,5.1,33.8,56.6,30.4,30.5,10.4,87.1,40.8,24.9,18.6,16205,10.1,0.538,0.339,0.468,0.745,17.7,110.4,7.1,14.6,43.9
Denver Nuggets,DEN,28.4,4,33.9,52.3,29.4,35.4,13.8,87.6,43.2,26.6,21.5,16255,9.8,0.562,0.391,0.493,0.808,19.1,121.7,7,13.1,43.7
Detroit Pistons,DET,27,6.4,32.6,58.4,32.2,31.5,11,89.9,43.1,26.5,20.1,15915,13.3,0.551,0.348,0.48,0.76,22.3,117.3,10.5,15.1,45.9
Golden State Warriors,GSW,29.2,4.4,31.5,44.3,24.8,45.6,16.3,89.8,41.1,20.7,16.7,15940,11.5,0.561,0.358,0.458,0.805,19.8,115.3,9.8,15.3,43
Houston Rockets,HOU,25.4,6,34,60.6,32.3,31.7,11.6,92.4,43.8,24.2,18.4,16040,15.7,0.532,0.364,0.474,0.759,19.2,117.6,9,16.1,49.7
Indiana Pacers,IND,26,4.6,31.6,51.2,26.9,36.8,12.6,88,39.5,23.1,17.7,16155,10,0.525,0.343,0.449,0.77,21.1,109.4,7.3,14.2,41.6
Los Angeles Clippers,LAC,24.4,4.9,32.4,50.9,28.7,34.8,12.7,85.7,41.4,26.1,21.7,15915,9.8,0.565,0.364,0.483,0.831,19.4,117.1,9.1,15,42.2
Los Angeles Lakers,LAL,26,4.2,31.9,51.2,30.3,34.3,12.3,85.5,42.6,26.7,20.5,15840,9.8,0.593,0.359,0.499,0.769,19,118.1,8.3,14.7,41.6
Memphis Grizzlies,MEM,28.1,5,31.4,51.6,27.7,37.8,13.4,89.4,41.2,23,18.2,15890,11.5,0.537,0.356,0.461,0.792,20,114,8.6,15,42.9
Miami Heat,MIA,27.6,4.2,33.7,54.4,29,35.8,12.9,90.2,41.9,24.3,19.2,16105,11.8,0.533,0.361,0.464,0.79,18.1,115.9,8.8,13.5,45.5
Milwaukee Bucks,MIL,26.4,4,32.9,48.9,27,38.5,14.8,87.4,41.8,19.8,14.5,15675,8.8,0.552,0.385,0.479,0.732,20.1,113,7.6,14.9,41.8
Minnesota Timberwolves,MIN,25.9,5.5,32.9,50.3,28.6,37,13.7,87.3,42.3,25.5,19.1,16155,11,0.569,0.371,0.485,0.75,21.1,117.5,8.6,14.6,43.9
New Orleans Pelicans,NOP,24.8,5,31.4,57.6,30.6,32,11.1,89.6,41.7,25.4,20,16445,12.3,0.531,0.346,0.465,0.787,19.8,114.4,8.7,14.2,43.6
New York Knicks,NYK,28,4.1,34.1,52.1,28.7,39.9,14.9,92,43.5,22.1,17.4,16395,13.1,0.55,0.373,0.473,0.786,20.9,119.3,8.2,14,47.2
Oklahoma City Thunder,OKC,25.4,5.5,34.4,50.8,29.1,37.8,13.6,88.7,42.7,23.6,19.4,16230,9.3,0.573,0.359,0.482,0.821,19.2,118.4,9.6,12.5,43.7
Orlando Magic,ORL,26.5,5.1,32.6,54.4,29.3,33.8,11.7,88.2,41,27,21.6,15750,11,0.538,0.346,0.465,0.797,20.8,115.2,8.6,13.6,43.6
Philadelphia 76ers,PHI,24.4,5.6,31,54,28.7,35.5,12.5,89.6,41.2,25.3,20.5,16040,11.8,0.532,0.351,0.46,0.81,20.3,115.4,9.2,13.8,42.8
