player_id,player_display_name,week,season_type,team,opponent_team,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_fumbles_forced,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_fumbles,def_safeties
00-0026190,Calais Campbell,1,REG,ARI,NO,3,0,2,0,0,0,0,0,0,0,0,0
00-0027940,Von Miller,1,REG,WAS,NYG,1,0,0,0,0,0,1,0,0,0,0,0
00-0027962,Cameron Jordan,1,REG,NO,ARI,2,0,1,2,0,1.5,2,0,1,0,0,0
00-0027969,Cameron Heyward,1,REG,PIT,NYJ,2,1,0,1,0,0,0,0,1,0,0,0
00-0028292,Nick Bellore,1,REG,WAS,NYG,1,0,1,0,0,0,0,0,0,0,0,0
00-0029255,Bobby Wagner,1,REG,WAS,NYG,4,1,5,1,0,0,0,0,0,0,0,0
00-0029562,Lavonte David,1,REG,TB,ATL,3,0,6,1,0,0,0,0,0,0,0,0
00-0029607,Demario Davis,1,REG,NO,ARI,6,0,3,2,0,0,0,0,0,0,0,0
00-0030062,Darius Slay,1,REG,PIT,NYJ,5,0,0,0,0,0,0,0,0,0,0,0
00-0030757,Mike Pennel,1,REG,CIN,CLE,0,1,3,1,0,0,0,0,0,0,0,0
00-0031040,Khalil Mack,1,REG,LAC,KC,1,0,0,0,0,0,1,0,0,0,0,0
00-0031054,DaQuan Jones,1,REG,BUF,BAL,1,0,0,1,0,0,0,0,0,0,0,0
00-0031270,Shelby Harris,1,REG,CLE,CIN,0,0,1,0,0,0,0,0,0,0,0,0
00-0031360,Kyle Van Noy,1,REG,BAL,BUF,1,0,2,0,0,0,1,0,0,0,0,0
00-0031411,DeMarcus Lawrence,1,REG,SEA,SF,1,1,4,2,0,0,1,0,0,0,0,0
00-0031550,Shaq Thompson,1,REG,BUF,BAL,1,0,0,0,0,0,0,0,0,0,0,0
00-0031551,Eddie Goldman,1,REG,WAS,NYG,1,0,0,1,0,0,0,0,0,0,0,0
00-0031565,Danielle Hunter,1,REG,HOU,LA,1,0,2,0,0,0,0,0,0,0,0,0
00-0031583,Grady Jarrett,1,REG,CHI,MIN,1,0,2,0,0,0,0,0,0,0,0,0
00-0031608,Quandre Diggs,1,REG,TEN,DEN,2,0,1,0,0,0,0,0,0,0,0,0
00-0031898,Alex Singleton,1,REG,DEN,TEN,1,1,4,0,0,0,0,0,1,0,0,0
00-0031933,Leonard Williams,1,REG,SEA,SF,3,0,4,1,0,0,1,0,0,0,0,0
00-0031957,Rakeem Nunez-Roches,1,REG,NYG,WAS,0,0,1,0,0,0,0,0,0,0,0,0
00-0032052,Dante Fowler Jr.,1,REG,DAL,PHI,0,0,0,0,0,0,1,0,0,0,0,0
00-0032146,Bud Dupree,1,REG,LAC,KC,0,0,0,0,0,0,0,0,1,0,0,0
00-0032164,Arik Armstead,1,REG,JAX,CAR,0,0,1,0,0,0,1,0,0,0,0,0
00-0032378,DeForest Buckner,1,REG,IND,MIA,0,0,3,0,0,0,0,0,0,0,0,0
00-0032387,Jarran Reed,1,REG,SEA,SF,2,0,3,0,0,0,2,0,0,0,0,0
00-0032388,Deion Jones,1,REG,TB,ATL,0,0,1,0,0,0,0,0,0,0,0,0
00-0032399,Miles Killebrew,1,REG,PIT,NYJ,1,0,0,0,0,0,0,0,0,0,0,0
00-0032415,Matthew Judon,1,REG,MIA,IND,1,0,1,0,0,0,0,0,0,0,0,0
00-0032442,Elandon Roberts,1,REG,LV,NE,1,0,0,0,0,0,0,0,0,0,0,0
00-0032580,Jonathan Jones,1,REG,WAS,NYG,0,0,0,0,0,0,0,0,0,0,0,0
00-0032667,Roy Robertson-Harris,1,REG,NYG,WAS,0,0,2,0,0,0,0,0,0,0,0,0
00-0032759,Sheldon Rankins,1,REG,HOU,LA,1,0,1,0,0,0,2,0,0,0,0,0
00-0032762,Chris Jones,1,REG,KC,LAC,0,0,2,0,0,0,0,0,0,0,0,0
00-0032763,Austin Johnson,1,REG,JAX,CAR,0,0,0,0,0,0,0,0,1,0,0,0
00-0032889,A'Shawn Robinson,1,REG,CAR,JAX,4,0,2,0,0,0,1,0,0,0,0,0
00-0033038,Eric Murray,1,REG,JAX,CAR,3,0,4,0,0,0,1,0,2,0,0,0
00-0033046,Jihad Ward,1,REG,TEN,DEN,0,1,1,0,0,0,0,0,0,0,0,0
00-0033050,Xavien Howard,1,REG,IND,MIA,0,0,0,0,0,0,0,0,0,0,0,0
00-0033055,Jalen Ramsey,1,REG,PIT,NYJ,2,0,1,0,0,0,1,0,2,0,0,0
00-0033073,Emmanuel Ogbah,1,REG,JAX,CAR,0,0,1,0,0,0,0,0,0,0,0,0
00-0033109,Javon Hargrave,1,REG,MIN,CHI,3,0,2,2,0,2,1,0,0,0,0,0
00-0033120,Kenny Clark,1,REG,DAL,PHI,2,0,3,0,0,0,0,0,0,0,0,0
00-0033132,Kevin Byard,1,REG,CHI,MIN,5,0,0,0,0,0,0,0,0,0,0,0
00-0033156,Joey Bosa,1,REG,BUF,BAL,2,0,0,0,1,0,0,0,0,0,0,0
00-0033281,Marlon Humphrey,1,REG,BAL,BUF,4,0,0,0,0,0,0,0,0,0,0,0
00-0033294,Chuck Clark,1,REG,PIT,NYJ,4,2,2,1,0,0,0,0,0,0,0,0
00-0033297,D.J. Jones,1,REG,DEN,TEN,1,0,0,0,0,0,1,0,0,0,0,0
00-0033336,Eric Wilson,1,REG,MIN,CHI,3,0,2,1,0,0,0,0,0,0,0,0
