player_id,player_display_name,week,season_type,team,opponent_team,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch
00-0029892,Kyle Juszczyk,1,REG,SF,SEA,0,0,0,2,2,32,0,22,10
00-0032764,Derrick Henry,1,REG,BAL,BUF,18,169,2,1,1,13,0,5,8
00-0033280,Christian McCaffrey,1,REG,SF,SEA,22,69,0,9,10,73,0,20,62
00-0033293,Aaron Jones,1,REG,MIN,CHI,8,23,0,3,3,44,1,21,23
00-0033526,Samaje Perine,1,REG,CIN,CLE,0,0,0,2,2,6,0,2,4
00-0033553,James Conner,1,REG,ARI,NO,12,39,0,4,4,5,1,-15,20
00-0033699,Austin Ekeler,1,REG,WAS,NYG,6,26,0,3,3,31,0,-7,38
00-0033854,Dare Ogunbowale,1,REG,HOU,LA,2,9,0,2,2,17,0,5,12
00-0033906,Alvin Kamara,1,REG,NO,ARI,11,45,1,2,2,12,0,-3,15
00-0033923,Kareem Hunt,1,REG,KC,LAC,5,16,0,2,3,10,0,-2,12
00-0033955,Jeremy McNichols,1,REG,WAS,NYG,4,25,0,0,0,0,0,0,0
00-0034791,Nick Chubb,1,REG,HOU,LA,13,60,0,0,1,0,0,5,0
00-0034844,Saquon Barkley,1,REG,PHI,DAL,18,60,1,4,5,24,0,-5,27
00-0034975,Justice Hill,1,REG,BAL,BUF,2,-14,0,1,2,3,0,-2,4
00-0035125,Alec Ingold,1,REG,MIA,IND,0,0,0,1,2,1,0,11,1
00-0035243,Miles Sanders,1,REG,DAL,PHI,4,53,0,1,1,-3,0,-5,2
00-0035250,Devin Singletary,1,REG,NYG,WAS,3,9,0,0,0,0,0,0,0
00-0035261,Tony Pollard,1,REG,TEN,DEN,18,60,0,1,1,29,0,-1,30
00-0035537,Ty Johnson,1,REG,BUF,BAL,2,24,0,0,2,0,0,9,0
00-0035567,Craig Reynolds,1,REG,DET,GB,0,0,0,0,0,0,0,0,0
00-0035685,David Montgomery,1,REG,DET,GB,11,25,0,4,4,18,0,4,14
00-0035700,Josh Jacobs,1,REG,GB,DET,19,66,1,1,1,4,0,1,3
00-0036139,Rico Dowdle,1,REG,CAR,JAX,3,12,0,2,3,4,0,-1,8
00-0036158,J.K. Dobbins,1,REG,DEN,TEN,16,63,1,2,2,5,0,-3,8
00-0036223,Jonathan Taylor,1,REG,IND,MIA,18,71,0,3,3,27,0,-2,29
00-0036265,AJ Dillon,1,REG,PHI,DAL,3,10,0,0,0,0,0,0,0
00-0036275,D'Andre Swift,1,REG,CHI,MIN,17,53,0,3,5,12,0,-3,17
00-0036328,Antonio Gibson,1,REG,NE,LV,1,3,0,0,1,0,0,4,0
00-0036555,Chuba Hubbard,1,REG,CAR,JAX,16,57,0,3,5,32,1,-14,36
00-0036727,Adam Prentice,1,REG,DEN,TEN,0,0,0,1,1,4,0,0,4
00-0036842,Kene Nwangwu,1,REG,NYJ,PIT,0,0,0,0,0,0,0,0,0
00-0036875,Rhamondre Stevenson,1,REG,NE,LV,7,15,0,2,3,12,0,3,14
