player_id,player_display_name,position,week,season_type,team,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch
00-0030035,Adam Thielen,WR,1,REG,MIN,CHI,0,1,0,0,7,0
00-0030061,Zach Ertz,TE,1,REG,WAS,NYG,3,5,26,1,42,6
00-0030279,Keenan Allen,WR,1,REG,LAC,KC,7,10,68,1,89,20
00-0030506,Travis Kelce,TE,1,REG,KC,LAC,2,4,47,1,24,24
00-0030564,DeAndre Hopkins,WR,1,REG,BAL,BUF,2,2,35,1,33,2
00-0031236,Brandin Cooks,WR,1,REG,NO,ARI,3,4,26,0,18,20
00-0031381,Davante Adams,WR,1,REG,LA,HOU,4,8,51,0,70,8
00-0031408,Mike Evans,WR,1,REG,TB,ATL,5,8,51,0,106,4
00-0031588,Stefon Diggs,WR,1,REG,NE,LV,6,7,57,0,61,19
00-0031763,DeAndre Carter,WR,1,REG,CLE,CIN,0,0,0,0,0,0
00-0032211,Tyler Lockett,WR,1,REG,TEN,DEN,0,1,0,0,16,0
00-0032385,Sterling Shepard,WR,1,REG,TB,ATL,3,6,39,0,86,8
00-0032392,Austin Hooper,TE,1,REG,NE,LV,1,1,10,0,3,7
00-0032398,Chris Moore,WR,1,REG,WAS,NYG,1,1,34,0,34,0
00-0032464,Kalif Raymond,WR,1,REG,DET,GB,2,3,16,0,23,16
00-0033040,Tyreek Hill,WR,1,REG,MIA,IND,4,6,40,0,86,5
00-0033090,Hunter Henry,TE,1,REG,NE,LV,4,8,66,0,117,19
00-0033110,Tyler Higbee,TE,1,REG,LA,HOU,0,0,0,0,0,0
00-0033217,Mo Alie-Cox,TE,1,REG,IND,MIA,1,1,20,0,2,18
00-0033246,Johnny Mundt,TE,1,REG,JAX,CAR,0,1,0,0,-3,0
00-0033288,George Kittle,TE,1,REG,SF,SEA,4,4,25,1,22,3
00-0033555,Mack Hollins,WR,1,REG,NE,LV,1,2,3,0,13,0
00-0033572,Jamal Agnew,WR,1,REG,ATL,TB,0,0,0,0,0,0
00-0033576,Eric Saubert,TE,1,REG,SEA,SF,0,0,0,0,0,0
00-0033589,David Moore,WR,1,REG,CAR,JAX,0,0,0,0,0,0
00-0033591,Noah Brown,WR,1,REG,WAS,NYG,2,3,27,0,34,6
00-0033857,JuJu Smith-Schuster,WR,1,REG,KC,LAC,5,5,55,0,29,26
00-0033858,Jonnu Smith,TE,1,REG,PIT,NYJ,5,6,15,1,-6,29
00-0033881,Evan Engram,TE,1,REG,DEN,TEN,3,4,21,0,10,16
00-0033885,David Njoku,TE,1,REG,CLE,CIN,3,6,37,0,41,23
00-0033891,Zay Jones,WR,1,REG,ARI,NO,1,1,4,0,2,2
00-0033908,Cooper Kupp,WR,1,REG,SEA,SF,2,3,15,0,20,3
00-0033943,Josh Reynolds,WR,1,REG,NYJ,PIT,2,3,18,0,30,2
00-0034159,Will Dissly,TE,1,REG,LAC,KC,1,1,18,0,5,13
00-0034270,Tyler Conklin,TE,1,REG,LAC,KC,2,2,50,0,28,22
00-0034348,Courtland Sutton,WR,1,REG,DEN,TEN,6,9,61,1,107,8
00-0034351,Dallas Goedert,TE,1,REG,PHI,DAL,7,7,44,0,34,10
00-0034383,Dalton Schultz,TE,1,REG,HOU,LA,3,5,28,0,25,11
00-0034386,Justin Watson,WR,1,REG,HOU,LA,2,2,27,0,14,13
00-0034407,Ray-Ray McCloud,WR,1,REG,ATL,TB,3,5,51,0,36,24
00-0034487,Trent Sherfield,WR,1,REG,DEN,TEN,1,1,3,0,-2,5
00-0034753,Mark Andrews,TE,1,REG,BAL,BUF,1,1,5,0,4,1
00-0034827,DJ Moore,WR,1,REG,CHI,MIN,3,5,68,0,94,22
00-0034829,Mike Gesicki,TE,1,REG,CIN,CLE,1,3,14,0,26,0
00-0034837,Calvin Ridley,WR,1,REG,TEN,DEN,4,8,27,0,69,12
00-0034854,KhaDarel Hodge,WR,1,REG,ATL,TB,0,1,0,0,26,0
