game_id,home_team,away_team,game_date,home_goals,away_goals,home_xGoalsPercentage,home_corsiPercentage,home_fenwickPercentage,home_iceTime,home_xOnGoalFor,home_xGoalsFor,home_xReboundsFor,home_xFreezeFor,home_xPlayStoppedFor,home_xPlayContinuedInZoneFor,home_xPlayContinuedOutsideZoneFor,home_flurryAdjustedxGoalsFor,home_scoreVenueAdjustedxGoalsFor,home_flurryScoreVenueAdjustedxGoalsFor,home_shotsOnGoalFor,home_missedShotsFor,home_blockedShotAttemptsFor,home_shotAttemptsFor,home_goalsFor,home_reboundsFor,home_reboundGoalsFor,home_freezeFor,home_playStoppedFor,home_playContinuedInZoneFor,home_playContinuedOutsideZoneFor,home_savedShotsOnGoalFor,home_savedUnblockedShotAttemptsFor,home_penaltiesFor,home_penalityMinutesFor,home_faceOffsWonFor,home_hitsFor,home_takeawaysFor,home_giveawaysFor,home_lowDangerShotsFor,home_mediumDangerShotsFor,home_highDangerShotsFor,home_lowDangerxGoalsFor,home_mediumDangerxGoalsFor,home_highDangerxGoalsFor,home_lowDangerGoalsFor,home_mediumDangerGoalsFor,home_highDangerGoalsFor,home_scoreAdjustedShotsAttemptsFor,home_unblockedShotAttemptsFor,home_scoreAdjustedUnblockedShotAttemptsFor,home_dZoneGiveawaysFor,home_xGoalsFromxReboundsOfShotsFor,home_xGoalsFromActualReboundsOfShotsFor,home_reboundxGoalsFor,home_totalShotCreditFor,home_scoreAdjustedTotalShotCreditFor,home_scoreFlurryAdjustedTotalShotCreditFor,home_xOnGoalAgainst,home_xGoalsAgainst,home_xReboundsAgainst,home_xFreezeAgainst,home_xPlayStoppedAgainst,home_xPlayContinuedInZoneAgainst,home_xPlayContinuedOutsideZoneAgainst,home_flurryAdjustedxGoalsAgainst,home_scoreVenueAdjustedxGoalsAgainst,home_flurryScoreVenueAdjustedxGoalsAgainst,home_shotsOnGoalAgainst,home_missedShotsAgainst,home_blockedShotAttemptsAgainst,home_shotAttemptsAgainst,home_goalsAgainst,home_reboundsAgainst,home_reboundGoalsAgainst,home_freezeAgainst,home_playStoppedAgainst,home_playContinuedInZoneAgainst,home_playContinuedOutsideZoneAgainst,home_savedShotsOnGoalAgainst,home_savedUnblockedShotAttemptsAgainst,home_penaltiesAgainst,home_penalityMinutesAgainst,home_faceOffsWonAgainst,home_hitsAgainst,home_takeawaysAgainst,home_giveawaysAgainst,home_lowDangerShotsAgainst,home_mediumDangerShotsAgainst,home_highDangerShotsAgainst,home_lowDangerxGoalsAgainst,home_mediumDangerxGoalsAgainst,home_highDangerxGoalsAgainst,home_lowDangerGoalsAgainst,home_mediumDangerGoalsAgainst,home_highDangerGoalsAgainst,home_scoreAdjustedShotsAttemptsAgainst,home_unblockedShotAttemptsAgainst,home_scoreAdjustedUnblockedShotAttemptsAgainst,home_dZoneGiveawaysAgainst,home_xGoalsFromxReboundsOfShotsAgainst,home_xGoalsFromActualReboundsOfShotsAgainst,home_reboundxGoalsAgainst,home_totalShotCreditAgainst,home_scoreAdjustedTotalShotCreditAgainst,home_scoreFlurryAdjustedTotalShotCreditAgainst,away_xGoalsPercentage,away_corsiPercentage,away_fenwickPercentage,away_iceTime,away_xOnGoalFor,away_xGoalsFor,away_xReboundsFor,away_xFreezeFor,away_xPlayStoppedFor,away_xPlayContinuedInZoneFor,away_xPlayContinuedOutsideZoneFor,away_flurryAdjustedxGoalsFor,away_scoreVenueAdjustedxGoalsFor,away_flurryScoreVenueAdjustedxGoalsFor,away_shotsOnGoalFor,away_missedShotsFor,away_blockedShotAttemptsFor,away_shotAttemptsFor,away_goalsFor,away_reboundsFor,away_reboundGoalsFor,away_freezeFor,away_playStoppedFor,away_playContinuedInZoneFor,away_playContinuedOutsideZoneFor,away_savedShotsOnGoalFor,away_savedUnblockedShotAttemptsFor,away_penaltiesFor,away_penalityMinutesFor,away_faceOffsWonFor,away_hitsFor,away_takeawaysFor,away_giveawaysFor,away_lowDangerShotsFor,away_mediumDangerShotsFor,away_highDangerShotsFor,away_lowDangerxGoalsFor,away_mediumDangerxGoalsFor,away_highDangerxGoalsFor,away_lowDangerGoalsFor,away_mediumDangerGoalsFor,away_highDangerGoalsFor,away_scoreAdjustedShotsAttemptsFor,away_unblockedShotAttemptsFor,away_scoreAdjustedUnblockedShotAttemptsFor,away_dZoneGiveawaysFor,away_xGoalsFromxReboundsOfShotsFor,away_xGoalsFromActualReboundsOfShotsFor,away_reboundxGoalsFor,away_totalShotCreditFor,away_scoreAdjustedTotalShotCreditFor,away_scoreFlurryAdjustedTotalShotCreditFor,away_xOnGoalAgainst,away_xGoalsAgainst,away_xReboundsAgainst,away_xFreezeAgainst,away_xPlayStoppedAgainst,away_xPlayContinuedInZoneAgainst,away_xPlayContinuedOutsideZoneAgainst,away_flurryAdjustedxGoalsAgainst,away_scoreVenueAdjustedxGoalsAgainst,away_flurryScoreVenueAdjustedxGoalsAgainst,away_shotsOnGoalAgainst,away_missedShotsAgainst,away_blockedShotAttemptsAgainst,away_shotAttemptsAgainst,away_goalsAgainst,away_reboundsAgainst,away_reboundGoalsAgainst,away_freezeAgainst,away_playStoppedAgainst,away_playContinuedInZoneAgainst,away_playContinuedOutsideZoneAgainst,away_savedShotsOnGoalAgainst,away_savedUnblockedShotAttemptsAgainst,away_penaltiesAgainst,away_penalityMinutesAgainst,away_faceOffsWonAgainst,away_hitsAgainst,away_takeawaysAgainst,away_giveawaysAgainst,away_lowDangerShotsAgainst,away_mediumDangerShotsAgainst,away_highDangerShotsAgainst,away_lowDangerxGoalsAgainst,away_mediumDangerxGoalsAgainst,away_highDangerxGoalsAgainst,away_lowDangerGoalsAgainst,away_mediumDangerGoalsAgainst,away_highDangerGoalsAgainst,away_scoreAdjustedShotsAttemptsAgainst,away_unblockedShotAttemptsAgainst,away_scoreAdjustedUnblockedShotAttemptsAgainst,away_dZoneGiveawaysAgainst,away_xGoalsFromxReboundsOfShotsAgainst,away_xGoalsFromActualReboundsOfShotsAgainst,away_reboundxGoalsAgainst,away_totalShotCreditAgainst,away_scoreAdjustedTotalShotCreditAgainst,away_scoreFlurryAdjustedTotalShotCreditAgainst
2025020002,NYR,PIT,20251007,0,3,0.49,0.49,0.48,237240,1792.68,148.64,119.82,455.7,61.84,983.15,708.86,143.14,148.8,143.32,1554,924,1081,3559,149,197,18,336,4,907,885,1405,2329,252,561,1844,1943,291,1045,1894,445,139,55.09,53.83,39.73,74,61,14,3540.83,2478,2468.5,525,24.95,39.57,39.65,133.93,134.07,131.9,1963.54,157.7,127.68,498.81,66.21,1059.45,783.13,151.78,159.59,153.57,1757,936,1034,3727,151,204,21,343,3,972,1020,1606,2542,211,477,1537,1484,320,1040,2100,446,147,62.3,55.58,39.82,70,59,22,3770.22,2693,2726.2,539,26.5,39.63,39.96,144.25,145.82,143.5,0.51,0.5,0.51,236194,1986.09,175.18,139.09,484.74,66.85,1064.35,785.8,167.88,177.79,170.4,1753,963,1023,3739,193,208,19,359,6,979,971,1560,2523,242,536,1594,1266,327,1125,2017,526,173,62.85,65.44,46.9,96,70,27,3805.3,2716,2761.21,523,29.12,42.08,42.42,161.87,164.37,160.34,1927.44,165.77,131.11,480.87,65.14,1037.91,760.21,158.44,164.72,157.5,1676,965,1053,3694,163,208,23,378,4,935,953,1513,2478,224,497,1768,1604,297,1133,1994,486,161,61.06,59.63,45.07,83,58,22,3653.72,2641,2623.03,545,27.36,41.09,41.15,151.99,151.47,148.54
2025020038,NYR,WSH,20251012,0,1,0.49,0.49,0.48,237240,1792.68,148.64,119.82,455.7,61.84,983.15,708.86,143.14,148.8,143.32,1554,924,1081,3559,149,197,18,336,4,907,885,1405,2329,252,561,1844,1943,291,1045,1894,445,139,55.09,53.83,39.73,74,61,14,3540.83,2478,2468.5,525,24.95,39.57,39.65,133.93,134.07,131.9,1963.54,157.7,127.68,498.81,66.21,1059.45,783.13,151.78,159.59,153.57,1757,936,1034,3727,151,204,21,343,3,972,1020,1606,2542,211,477,1537,1484,320,1040,2100,446,147,62.3,55.58,39.82,70,59,22,3770.22,2693,2726.2,539,26.5,39.63,39.96,144.25,145.82,143.5,0.5,0.49,0.5,230770,1937.2,167.79,124.13,485.15,66.41,1023.38,773.15,161.3,168.57,162,1685,955,992,3632,172,211,30,338,3,882,1034,1513,2468,260,586,1561,1458,293,1047,1968,517,155,61.48,63.27,43.05,78,70,24,3646.54,2640,2651.45,495,25.88,42.22,42.22,151.45,151.99,149.14,1930.53,168.82,124.7,482.12,65.36,1015.31,759.74,162.75,169.45,163.33,1691,926,1107,3724,143,204,18,372,3,948,947,1548,2474,252,568,1664,1402,291,1071,1932,515,170,59.39,63.28,46.15,55,59,29,3722.58,2617,2616.08,523,26,38.51,39,155.76,156.37,153.83
2025020051,NYR,EDM,20251014,0,2,0.49,0.49,0.48,237240,1792.68,148.64,119.82,455.7,61.84,983.15,708.86,143.14,148.8,143.32,1554,924,1081,3559,149,197,18,336,4,907,885,1405,2329,252,561,1844,1943,291,1045,1894,445,139,55.09,53.83,39.73,74,61,14,3540.83,2478,2468.5,525,24.95,39.57,39.65,133.93,134.07,131.9,1963.54,157.7,127.68,498.81,66.21,1059.45,783.13,151.78,159.59,153.57,1757,936,1034,3727,151,204,21,343,3,972,1020,1606,2542,211,477,1537,1484,320,1040,2100,446,147,62.3,55.58,39.82,70,59,22,3770.22,2693,2726.2,539,26.5,39.63,39.96,144.25,145.82,143.5,0.52,0.5,0.51,239292,2010.67,176.15,135.04,491.29,66.62,1058.12,796.78,169.11,177.4,170.33,1831,893,954,3678,171,204,19,409,4,914,1022,1660,2553,234,528,1741,1427,283,1110,2019,528,177,62.67,65.48,48,81,65,25,3709.87,2724,2741.76,512,28.18,41.59,41.88,162.45,163.77,160.99,1922.84,164.97,128.84,474.1,65.07,1037.32,767.71,159.24,165.38,159.75,1652,986,1032,3670,185,202,33,348,3,913,987,1467,2453,231,514,1591,1415,336,1136,2014,461,163,63.03,57.49,44.44,89,63,33,3670.04,2638,2643.33,517,26.8,39.65,39.65,152.11,152.98,150.77
2025020093,NYR,MIN,20251020,1,3,0.49,0.49,0.48,237240,1792.68,148.64,119.82,455.7,61.84,983.15,708.86,143.14,148.8,143.32,1554,924,1081,3559,149,197,18,336,4,907,885,1405,2329,252,561,1844,1943,291,1045,1894,445,139,55.09,53.83,39.73,74,61,14,3540.83,2478,2468.5,525,24.95,39.57,39.65,133.93,134.07,131.9,1963.54,157.7,127.68,498.81,66.21,1059.45,783.13,151.78,159.59,153.57,1757,936,1034,3727,151,204,21,343,3,972,1020,1606,2542,211,477,1537,1484,320,1040,2100,446,147,62.3,55.58,39.82,70,59,22,3770.22,2693,2726.2,539,26.5,39.63,39.96,144.25,145.82,143.5,0.51,0.48,0.49,238239,1992.11,167.68,134.61,489.36,66.53,1068.33,796.48,160.51,169.9,162.59,1788,935,984,3707,162,226,16,354,1,993,987,1626,2561,221,502,1640,1613,309,1032,2039,511,173,58.38,61.49,47.8,80,61,21,3770.6,2723,2764.93,469,28.03,43.36,43.7,152.01,153.86,150.91,2062.66,159.14,136.91,521.14,69.49,1132.62,830.71,152.81,157.99,151.77,1842,1008,1144,3994,151,202,17,435,5,999,1058,1691,2699,251,569,1912,1372,290,1060,2272,451,127,66,57.39,35.75,70,60,21,3959.8,2850,2824.02,527,28.48,37.26,37.26,150.35,149.51,146.56
2025020116,NYR,SJS,20251023,5,6,0.49,0.49,0.48,237240,1792.68,148.64,119.82,455.7,61.84,983.15,708.86,143.14,148.8,143.32,1554,924,1081,3559,149,197,18,336,4,907,885,1405,2329,252,561,1844,1943,291,1045,1894,445,139,55.09,53.83,39.73,74,61,14,3540.83,2478,2468.5,525,24.95,39.57,39.65,133.93,134.07,131.9,1963.54,157.7,127.68,498.81,66.21,1059.45,783.13,151.78,159.59,153.57,1757,936,1034,3727,151,204,21,343,3,972,1020,1606,2542,211,477,1537,1484,320,1040,2100,446,147,62.3,55.58,39.82,70,59,22,3770.22,2693,2726.2,539,26.5,39.63,39.96,144.25,145.82,143.5,0.47,0.47,0.46,228795,1663.45,145.93,112.55,409.99,56.14,887.65,656.74,140.22,145.47,139.81,1519,750,963,3232,153,187,22,314,2,770,843,1366,2116,244,527,1615,1623,289,1147,1704,411,154,51.71,52.06,42.17,68,61,24,3214.26,2269,2263.87,563,23.49,36.47,37.14,132.28,132.19,130.18,1939.79,163.85,131.84,486,65.65,1046.57,759.1,156.67,165.32,158.03,1764,889,1023,3676,182,211,22,380,4,950,926,1582,2471,249,537,1749,1320,287,1005,2003,489,161,58.84,60.31,44.7,89,68,25,3712.21,2653,2672.35,446,27.49,42.35,42.9,148.43,149.52,146.95
2025020206,NYR,CAR,20251104,0,3,0.49,0.49,0.48,237240,1792.68,148.64,119.82,455.7,61.84,983.15,708.86,143.14,148.8,143.32,1554,924,1081,3559,149,197,18,336,4,907,885,1405,2329,252,561,1844,1943,291,1045,1894,445,139,55.09,53.83,39.73,74,61,14,3540.83,2478,2468.5,525,24.95,39.57,39.65,133.93,134.07,131.9,1963.54,157.7,127.68,498.81,66.21,1059.45,783.13,151.78,159.59,153.57,1757,936,1034,3727,151,204,21,343,3,972,1020,1606,2542,211,477,1537,1484,320,1040,2100,446,147,62.3,55.58,39.82,70,59,22,3770.22,2693,2726.2,539,26.5,39.63,39.96,144.25,145.82,143.5,0.57,0.6,0.59,235393,2357.69,196.21,151.19,614.93,79.58,1246.87,914.22,187.84,198.17,189.7,2012,1191,1268,4471,180,248,21,519,3,1162,1091,1832,3023,233,489,1895,1489,381,1101,2470,532,201,75.69,66.01,54.51,80,73,27,4542.87,3203,3252.86,492,31.57,46.62,46.89,180.88,182.48,178.88,1643.67,150.16,110.61,403.22,55.06,853.68,642.27,144.26,149.44,143.61,1460,755,768,2983,159,184,16,278,3,761,830,1301,2056,239,499,1862,1755,284,1152,1586,490,139,50.25,60.42,39.5,60,76,23,2946.89,2215,2193.35,604,23.2,36.63,37.28,136.08,135.74,133.4
2025020237,NYR,NYI,20251108,0,5,0.49,0.49,0.48,237240,1792.68,148.64,119.82,455.7,61.84,983.15,708.86,143.14,148.8,143.32,1554,924,1081,3559,149,197,18,336,4,907,885,1405,2329,252,561,1844,1943,291,1045,1894,445,139,55.09,53.83,39.73,74,61,14,3540.83,2478,2468.5,525,24.95,39.57,39.65,133.93,134.07,131.9,1963.54,157.7,127.68,498.81,66.21,1059.45,783.13,151.78,159.59,153.57,1757,936,1034,3727,151,204,21,343,3,972,1020,1606,2542,211,477,1537,1484,320,1040,2100,446,147,62.3,55.58,39.82,70,59,22,3770.22,2693,2726.2,539,26.5,39.63,39.96,144.25,145.82,143.5,0.47,0.49,0.49,233638,1902.13,158.9,124.1,491.16,66.39,1019.92,744.53,152.66,158.65,152.43,1682,923,972,3577,145,229,22,390,5,916,920,1537,2460,211,459,1724,1484,291,991,1996,461,148,59.25,56.65,43,75,46,24,3568.98,2605,2598.25,499,25.8,45.29,45.57,139.13,138.85,136.27,1993.95,175.91,134.54,496.39,66.86,1053.39,779.91,168.3,176.8,169.14,1719,988,1054,3761,154,245,13,332,3,995,978,1565,2553,230,502,1614,1515,301,1054,1987,537,183,61.07,66.21,48.62,70,67,17,3782.46,2707,2722.01,477,28.06,45.38,45.46,158.5,159.28,155.92
2025020253,NYR,NSH,20251110,6,3,0.49,0.49,0.48,237240,1792.68,148.64,119.82,455.7,61.84,983.15,708.86,143.14,148.8,143.32,1554,924,1081,3559,149,197,18,336,4,907,885,1405,2329,252,561,1844,1943,291,1045,1894,445,139,55.09,53.83,39.73,74,61,14,3540.83,2478,2468.5,525,24.95,39.57,39.65,133.93,134.07,131.9,1963.54,157.7,127.68,498.81,66.21,1059.45,783.13,151.78,159.59,153.57,1757,936,1034,3727,151,204,21,343,3,972,1020,1606,2542,211,477,1537,1484,320,1040,2100,446,147,62.3,55.58,39.82,70,59,22,3770.22,2693,2726.2,539,26.5,39.63,39.96,144.25,145.82,143.5,0.49,0.5,0.49,232586,1909.37,161.45,129.22,482.57,64.62,1019.06,748.09,155.2,160.96,154.79,1674,931,1068,3673,146,225,22,400,6,935,893,1528,2459,260,569,1776,1447,336,1045,1986,450,169,58.03,56.75,46.67,64,56,26,3636.96,2605,2583.76,527,26.96,43.54,43.54,144.87,144.65,141.92,2016.77,166.61,132.39,503.68,67.54,1085.03,796.74,160.79,168.59,162.66,1827,925,875,3627,175,192,30,409,2,997,977,1652,2577,252,561,1777,1512,276,1071,2121,477,154,63.17,58.85,44.59,75,72,28,3673.32,2752,2783.41,505,27.55,41.59,41.65,152.51,154.06,151.52
2025020299,NYR,DET,20251116,1,2,0.49,0.49,0.48,237240,1792.68,148.64,119.82,455.7,61.84,983.15,708.86,143.14,148.8,143.32,1554,924,1081,3559,149,197,18,336,4,907,885,1405,2329,252,561,1844,1943,291,1045,1894,445,139,55.09,53.83,39.73,74,61,14,3540.83,2478,2468.5,525,24.95,39.57,39.65,133.93,134.07,131.9,1963.54,157.7,127.68,498.81,66.21,1059.45,783.13,151.78,159.59,153.57,1757,936,1034,3727,151,204,21,343,3,972,1020,1606,2542,211,477,1537,1484,320,1040,2100,446,147,62.3,55.58,39.82,70,59,22,3770.22,2693,2726.2,539,26.5,39.63,39.96,144.25,145.82,143.5,0.49,0.49,0.5,234154,1932.66,154.39,124.1,493.08,66.36,1031.1,768.97,148.82,154.68,149.05,1695,943,984,3622,135,203,15,362,5,924,1009,1560,2503,226,487,1780,1357,289,1054,2029,471,138,58.12,58.41,37.87,62,56,17,3602.29,2638,2626.39,490,25.81,37.96,38.13,142.08,142.05,139.81,1945.95,160.51,129.01,483.4,64.91,1047.81,776.37,154.87,161.49,155.82,1708,954,1144,3806,156,168,16,414,3,960,961,1552,2506,253,543,1725,1632,269,992,2039,480,143,63.73,58.35,38.43,75,53,28,3816.52,2662,2668.95,482,26.88,33.16,33.22,154.16,155.04,152.48
2025020355,NYR,STL,20251124,3,2,0.49,0.49,0.48,237240,1792.68,148.64,119.82,455.7,61.84,983.15,708.86,143.14,148.8,143.32,1554,924,1081,3559,149,197,18,336,4,907,885,1405,2329,252,561,1844,1943,291,1045,1894,445,139,55.09,53.83,39.73,74,61,14,3540.83,2478,2468.5,525,24.95,39.57,39.65,133.93,134.07,131.9,1963.54,157.7,127.68,498.81,66.21,1059.45,783.13,151.78,159.59,153.57,1757,936,1034,3727,151,204,21,343,3,972,1020,1606,2542,211,477,1537,1484,320,1040,2100,446,147,62.3,55.58,39.82,70,59,22,3770.22,2693,2726.2,539,26.5,39.63,39.96,144.25,145.82,143.5,0.49,0.48,0.48,234629,1762.57,150.33,116.96,438.37,58.51,939.99,688.98,143.66,151.25,144.53,1588,807,933,3328,146,199,15,325,3,851,871,1442,2249,229,542,1599,1673,281,1002,1787,472,136,54.34,58.23,37.75,67,66,13,3330.52,2395,2405.49,469,24.28,37.06,37.06,137.41,138.3,135.52,1898.23,155.15,123.95,482.52,63.66,1014.93,750.87,148.93,156.07,149.9,1690,902,992,3584,162,191,23,404,4,944,887,1528,2430,229,533,1690,1350,309,1098,2000,434,158,57.04,54.41,43.69,76,54,32,3613.23,2592,2604.7,521,25.83,39.71,39.79,141.12,142.26,139.61
