game_id,home_team,away_team,game_date,home_goals,away_goals
2025020002,NYR,PIT,20251007,0,3
2025020038,NYR,WSH,20251012,0,1
2025020051,NYR,EDM,20251014,0,2
2025020093,NYR,MIN,20251020,1,3
2025020116,NYR,SJS,20251023,5,6
2025020206,NYR,CAR,20251104,0,3
2025020237,NYR,NYI,20251108,0,5
2025020253,NYR,NSH,20251110,6,3
2025020299,NYR,DET,20251116,1,2
2025020355,NYR,STL,20251124,3,2
2025020391,NYR,TBL,20251129,1,4
2025020415,NYR,DAL,20251202,3,2
2025020441,NYR,COL,20251206,2,3
2025020458,NYR,VGK,20251207,2,3
2025020500,NYR,MTL,20251213,5,4
2025020515,NYR,ANA,20251215,1,4
2025020523,NYR,VAN,20251216,0,3
2025020549,NYR,PHI,20251220,4,4
2025020662,NYR,UTA,20260105,2,3
2025020685,NYR,BUF,20260108,2,5
2025020718,NYR,SEA,20260112,2,4
2025020737,NYR,OTT,20260114,4,8
2025020826,NYR,BOS,20260126,4,3
2025020849,NYR,NYI,20260129,1,2
2025020906,NYR,CAR,20260205,0,2
2025020924,NYR,PHI,20260226,2,3
2025020934,NYR,PIT,20260228,2,2
2025020953,NYR,CBJ,20260302,4,5
2025020975,NYR,TOR,20260305,6,2
2025021017,NYR,CGY,20260310,4,0
2025021065,NYR,LAK,20260316,1,4
2025021077,NYR,NJD,20260318,3,6
2025021110,NYR,WPG,20260322,2,2
2025021119,NYR,OTT,20260323,1,2
2025021151,NYR,CHI,20260327,6,1
2025021167,NYR,FLA,20260329,3,1
2025021182,NYR,NJD,20260331,4,1
2025021195,NYR,MTL,20260402,2,3
2025021207,NYR,DET,20260404,4,1
2025021227,NYR,WSH,20260405,8,1
2025021244,NYR,BUF,20260408,3,5
2025020020,SJS,VGK,20251009,3,4
2025020036,SJS,ANA,20251011,6,7
2025020055,SJS,CAR,20251014,1,5
2025020088,SJS,PIT,20251018,0,3
2025020165,SJS,LAK,20251028,3,4
2025020176,SJS,NJD,20251030,5,2
2025020184,SJS,COL,20251101,3,2
2025020198,SJS,DET,20251102,2,2
2025020230,SJS,WPG,20251107,2,1
2025020243,SJS,FLA,20251108,3,1
2025020314,SJS,UTA,20251118,3,2
2025020330,SJS,LAK,20251120,3,3
2025020342,SJS,OTT,20251122,2,3
2025020351,SJS,BOS,20251123,3,1
2025020385,SJS,VAN,20251128,3,2
2025020410,SJS,UTA,20251201,6,3
2025020425,SJS,WSH,20251203,1,7
2025020527,SJS,CGY,20251216,6,3
2025020543,SJS,DAL,20251218,3,5
2025020561,SJS,SEA,20251220,2,4
2025020625,SJS,MIN,20251231,3,3
2025020649,SJS,TBL,20260103,3,7
2025020675,SJS,CBJ,20260106,5,2
2025020700,SJS,DAL,20260110,5,4
2025020715,SJS,VGK,20260111,2,7
2025020808,SJS,NYR,20260123,3,1
2025020928,SJS,CGY,20260226,1,4
2025020936,SJS,EDM,20260228,5,4
2025020950,SJS,WPG,20260301,2,1
