name,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TOR,0.46,0.45,0.45,237820,1836.92,148.39,119.59,461.09,60.86,971.65,721.42,143.09,148.12,142.86,1607,876,859,3342,165,183,22,372,4,813,946,1442,2318,256,580,1898,1698,300,1149,1886,475,122,55.38,58.99,34.03,79,62,24,3312.86,2483,2467.67,559,24.95,32.98,32.98,140.37,140.27,138.09,2210.47,176.34,145.06,557.19,73.66,1197.51,879.24,170.28,178.04,171.88,1986,1043,1097,4126,198,210,19,439,4,1085,1093,1788,2831,231,533,1592,1374,303,1111,2377,494,158,70.58,61.64,44.12,103,73,22,4186.41,3029,3064.94,532,30.17,40.89,41.51,164.99,166.36,163.3
DET,0.49,0.49,0.5,234154,1932.66,154.39,124.1,493.08,66.36,1031.1,768.97,148.82,154.68,149.05,1695,943,984,3622,135,203,15,362,5,924,1009,1560,2503,226,487,1780,1357,289,1054,2029,471,138,58.12,58.41,37.87,62,56,17,3602.29,2638,2626.39,490,25.81,37.96,38.13,142.08,142.05,139.81,1945.95,160.51,129.01,483.4,64.91,1047.81,776.37,154.87,161.49,155.82,1708,954,1144,3806,156,168,16,414,3,960,961,1552,2506,253,543,1725,1632,269,992,2039,480,143,63.73,58.35,38.43,75,53,28,3816.52,2662,2668.95,482,26.88,33.16,33.22,154.16,155.04,152.48
MTL,0.48,0.49,0.5,231805,1811.83,155.15,117.39,446.55,61.99,978.02,731.88,149.43,156.16,150.4,1578,913,962,3453,178,173,15,374,3,885,878,1400,2313,286,631,1668,1663,291,937,1884,469,138,60.24,56.61,38.31,91,65,22,3476.25,2491,2506.22,441,24.37,32.73,32.73,146.79,147.8,145.14,1879.95,167.52,120.8,473.03,62.8,976.01,724.86,160.05,167.81,160.37,1627,898,1101,3626,155,224,17,347,2,896,901,1472,2370,272,609,1584,1658,298,1037,1834,518,173,56.1,63.63,47.8,64,67,24,3614.43,2525,2519.49,485,25.18,43.48,43.68,149.01,149.18,146.12
CAR,0.57,0.6,0.59,235393,2357.69,196.21,151.19,614.93,79.58,1246.87,914.22,187.84,198.17,189.7,2012,1191,1268,4471,180,248,21,519,3,1162,1091,1832,3023,233,489,1895,1489,381,1101,2470,532,201,75.69,66.01,54.51,80,73,27,4542.87,3203,3252.86,492,31.57,46.62,46.89,180.88,182.48,178.88,1643.67,150.16,110.61,403.22,55.06,853.68,642.27,144.26,149.44,143.61,1460,755,768,2983,159,184,16,278,3,761,830,1301,2056,239,499,1862,1755,284,1152,1586,490,139,50.25,60.42,39.5,60,76,23,2946.89,2215,2193.35,604,23.2,36.63,37.28,136.08,135.74,133.4
NYR,0.49,0.49,0.48,237240,1792.68,148.64,119.82,455.7,61.84,983.15,708.86,143.14,148.8,143.32,1554,924,1081,3559,149,197,18,336,4,907,885,1405,2329,252,561,1844,1943,291,1045,1894,445,139,55.09,53.83,39.73,74,61,14,3540.83,2478,2468.5,525,24.95,39.57,39.65,133.93,134.07,131.9,1963.54,157.7,127.68,498.81,66.21,1059.45,783.13,151.78,159.59,153.57,1757,936,1034,3727,151,204,21,343,3,972,1020,1606,2542,211,477,1537,1484,320,1040,2100,446,147,62.3,55.58,39.82,70,59,22,3770.22,2693,2726.2,539,26.5,39.63,39.96,144.25,145.82,143.5
PIT,0.51,0.5,0.51,236194,1986.09,175.18,139.09,484.74,66.85,1064.35,785.8,167.88,177.79,170.4,1753,963,1023,3739,193,208,19,359,6,979,971,1560,2523,242,536,1594,1266,327,1125,2017,526,173,62.85,65.44,46.9,96,70,27,3805.3,2716,2761.21,523,29.12,42.08,42.42,161.87,164.37,160.34,1927.44,165.77,131.11,480.87,65.14,1037.91,760.21,158.44,164.72,157.5,1676,965,1053,3694,163,208,23,378,4,935,953,1513,2478,224,497,1768,1604,297,1133,1994,486,161,61.06,59.63,45.07,83,58,22,3653.72,2641,2623.03,545,27.36,41.09,41.15,151.99,151.47,148.54
DAL,0.51,0.47,0.48,233800,1659.19,152.99,110.81,414.98,55.54,869.07,641.62,146.82,155.16,148.88,1507,738,891,3136,163,193,27,306,2,800,781,1344,2082,251,552,1679,1438,296,1019,1619,475,151,52.33,58.91,41.74,73,65,25,3199.21,2245,2279.66,496,23.17,39.65,39.65,136.5,138.26,135.99,1783.08,149.41,112.96,453.11,60.24,947.49,704.77,144.72,148.89,144.23,1580,848,1046,3474,132,194,21,311,3,848,940,1448,2296,256,558,1532,1811,304,1131,1869,414,145,57.9,50.23,41.28,66,42,24,3446.5,2428,2419.79,517,23.48,38.4,38.7,134.18,133.93,132.14
BOS,0.47,0.49,0.49,230774,1897.17,152.83,121.14,484.76,64.89,1003.16,757.24,146.15,153.58,146.92,1654,930,1019,3603,174,213,20,384,5,899,909,1480,2410,296,688,1853,1710,274,1141,2006,436,142,58.38,54.2,40.25,93,58,23,3622.11,2584,2595.57,556,25.22,39.68,40.11,137.93,138.82,136.12,1972.36,171.2,131.93,506.18,68.02,1041.65,767.02,164.01,171.03,163.9,1717,969,1071,3757,145,239,14,426,4,938,934,1572,2541,282,656,1637,1663,312,1027,1985,529,172,58,66.48,46.74,68,62,15,3745.1,2686,2680.57,451,27.56,46.43,46.43,152.34,152.33,149.5
EDM,0.52,0.5,0.51,239292,2010.67,176.15,135.04,491.29,66.62,1058.12,796.78,169.11,177.4,170.33,1831,893,954,3678,171,204,19,409,4,914,1022,1660,2553,234,528,1741,1427,283,1110,2019,528,177,62.67,65.48,48,81,65,25,3709.87,2724,2741.76,512,28.18,41.59,41.88,162.45,163.77,160.99,1922.84,164.97,128.84,474.1,65.07,1037.32,767.71,159.24,165.38,159.75,1652,986,1032,3670,185,202,33,348,3,913,987,1467,2453,231,514,1591,1415,336,1136,2014,461,163,63.03,57.49,44.44,89,63,33,3670.04,2638,2643.33,517,26.8,39.65,39.65,152.11,152.98,150.77
VGK,0.54,0.52,0.53,241699,1998.16,167.84,133.26,492.25,66.19,1061.96,798.56,161.62,167.51,161.38,1798,923,1081,3802,167,191,26,429,2,973,959,1631,2554,216,503,1798,1583,291,1142,2052,511,158,60.19,63.52,44.13,65,70,32,3774.23,2721,2702.41,496,27.83,38.82,38.9,156.69,156.54,154.05,1777.29,141.16,115.99,450.77,61.75,963.32,709.02,136.4,142.65,137.86,1495,947,1040,3482,169,186,24,325,3,904,855,1326,2273,236,539,1721,1620,333,1017,1912,399,131,56.07,49.16,35.93,85,59,25,3523.23,2442,2472.82,479,24.14,32.94,33.1,132.2,133.64,131.46
